sample_id,rep,date,date2,type,group,group2,site,d15N,d13C,per_N,per_C,C_N_ratio,below_threshold,FG,FG2,Comments,
327,,20-Aug,A,food,FPOM,FPOM,Grizzly,-3.57,-28.48,1.65,45.72,27.79,n,,,This looks like an outlier,
328,,20-Aug,A,food,Hydrurus,Hydrurus,NFTC,-2.69,-25.5,5.36,32.33,6.03,n,,,,
330,,20-Aug,A,food,Black scum,Black scum,NFTC,-0.93,-17.53,3.91,18.89,4.83,n,,,,
331-A,A,20-Aug,A,food,FPOM,FPOM,NFTC,3.98,-24.26,0.31,3.22,10.47,n,,,,
332,,20-Aug,A,food,CPOM/Plant,Short needle detritus,NFTC,-4.89,-26.01,0.39,48.62,123.96,n,,,,
347,,20-Aug,A,food,Hydrurus,Hydrurus,NFTC,-2.41,-25.28,5.01,30.67,6.12,n,,,,
4000,,20-Aug,A,food,CPOM/Plant,Grass detritus,AK Basin,-0.92,-26.34,1.01,38.37,38.12,n,,,,
4001,,20-Aug,A,food,CPOM/Plant,Leaf detritus,AK Basin,-4.29,-28.03,1.29,45.62,35.34,n,,,,
4003,,20-Aug,A,food,CPOM/Plant,Wood,AK Basin,-3.52,-28.23,1.22,40.44,33.08,n,,,,
4004,,20-Aug,NA,food,Pika poop,Pika poop,AK Basin,-0.18,-28.72,2.62,35.11,13.38,n,,,,
4005,,20-Aug,A,food,Moss,Moss,AK Basin,-0.62,-30.86,3.26,39.13,12,n,,,,
4006,,20-Aug,A,food,CPOM/Plant,Leaf detritus,AK Basin,-1.41,-26.93,3.82,40.84,10.68,n,,,,
4007,,20-Aug,A,food,CPOM/Plant,Grass detritus,AK Basin,-1.82,-24.87,1.01,43.23,42.63,n,,,,
4020,,20-Aug,A,food,FPOM,FPOM,AK Basin,-0.58,-15.06,0.09,1.54,16.53,y,,,N & C Amplitude below threshold for reliable data.,
5013,,20-Aug,A,food,Brown org on rocks,Brown org on rocks,SFTC,0.54,,0.24,,,n,,,Carbon Amplitude below threshold for reliable data.,
5013,,20-Aug,A,food,Brown org on rocks,Brown org on rocks,SFTC,0.54,-21.88,0.24,2.39,10.12,y,,,Carbon Amplitude below threshold for reliable data.,
5014,,20-Aug,A,food,CPOM/Plant,Long needle detritus,SFTC,-1.58,-26.58,0.43,53.52,124.14,n,,,,
520,,20-Aug,A,food,CPOM/Plant,Short needle detritus,SFTC,-1.74,-25.95,0.98,51.83,53.14,n,,,,
521,,20-Aug,A,food,CPOM/Plant,Grass detritus,SFTC,-1.94,-27.21,1.1,43.34,39.35,n,,,,
523,,20-Aug,A,food,CPOM/Plant,Grass detritus,SFTC,-2.66,-26.4,1.51,53.23,35.26,n,,,Replicates averaged,
524,,20-Aug,A,food,Moss,Moss,SFTC,-1.29,-24.44,0.98,21.92,22.27,n,,,,
527,,20-Aug,A,food,Wood,Wood,SFTC,-2.29,-27.15,1.5,43.17,28.77,n,,,,
528,,20-Aug,A,food,Algae_slime,Thick algae slime,SFTC,-0.09,-12.17,6.03,38.53,6.39,n,,,,
529,,20-Aug,A,food,Algae_slime,Thick algae slime,SFTC,-0.16,-12.53,6.39,38.26,5.99,n,,,,
533,,20-Aug,A,food,FPOM,FPOM,SFTC,1.45,-24.44,0.12,1.27,10.92,y,,,N & C Amplitude below threshold for reliable data.,
900,,20-Aug,A,food,,,,-1.75,-18.8,1.53,16.2,10.59,,,,,
AK 7.23.21 R1A 0.5,,21-Jul,NA,food,Biofilm,,AK Basin,-3.5,-29.4,4.6,33,7.2,n,,,,
AK 7.23.21 R2A 0.5,,21-Jul,NA,food,Biofilm,,AK Basin,-0.2,-22,3.8,31.2,8.1,n,,,,
AK 7.23.21 R3A 0.5,,21-Jul,NA,food,Biofilm,,AK Basin,-0.3,-23.3,5.3,37.2,7,n,,,,
AK 8.7.21 R1A 0.25,,21-Aug,NA,food,Biofilm,,AK Basin,-0.15,-26.55,1.15,9.5,8.4,n,,,Replicated averaged. Replicates outside QAQC tolerance for C and N %.,
AK 8.7.21 R2,,21-Aug,NA,food,Biofilm,,AK Basin,-0.5,-26.7,2.6,21,7.9,n,,,,
AK 8.7.21 R3,,21-Aug,NA,food,Biofilm,,AK Basin,-1.4,-30.9,4.4,31.5,7.2,n,,,,
AK Icy Bluebells,,20-Aug,A,food,CPOM/Plant,Plant,AK Basin,-4.15,-26.45,3.53,43.37,12.28,n,,,,
AK Icy Finger Plant,,20-Aug,A,food,CPOM/Plant,Plant,AK Basin,-0.19,-26.58,3.83,43.9,11.47,n,,,,
AK Icy Grass 1,,20-Aug,A,food,CPOM/Plant,Plant,AK Basin,-5.74,-25.34,2.24,44.86,20.01,n,,,,
AK Icy Herb 1,,20-Aug,A,food,CPOM/Plant,Plant,AK Basin,-3,-25.93,2.65,42.02,15.86,n,,,,
AK Icy Sedge 1,,20-Aug,A,food,CPOM/Plant,Plant,AK Basin,-1.59,-25.81,1.42,43.36,30.62,n,,,,
AK Icy Wedge Aster,,20-Aug,A,food,CPOM/Plant,Plant,AK Basin,-4.2,-26.69,3.76,45.14,12.01,n,,,,
AK Icy Willow Leaves,,20-Aug,A,food,CPOM/Plant,Plant,AK Basin,-2.77,-27.94,2.86,47.05,16.44,n,,,,
AK R2A,,20-Aug,A,food,Biofilm,Biofilm,AK Basin,-0.78,-16.87,1.35,16.16,11.95,n,,,,
AK R2B 0.5,,20-Aug,A,food,Biofilm,,AK Basin,2.2,-16.6,0.7,9.3,13.4,n,,,,
