sample_id,rep,date,date2,type,group,group2,site,d15N,d13C,per_N,per_C,C_N_ratio,below_threshold,FG,FG2,Comments,
1007,,20-Aug,A,invert,Ameletidae,,Delta,-1.05,-22.65,9.97,53.15,5.33,n,Consumer,Consumer,,
2027,A,20-Aug,A,invert,Homophylax,,NFTC,-1.95,-20.81,9.81,43.53,4.44,n,Consumer,Baseline2,,
2027,D,20-Aug,A,invert,Homophylax,,NFTC,-0.94,-17,8.59,48.05,5.59,n,Consumer,Baseline2,,
2040,A,20-Aug,A,invert,Simuliidae,,NFTC,-0.37,-21.85,9.45,49.68,5.35,n,Consumer,Consumer,,
2040,B,20-Aug,A,invert,Simuliidae,,NFTC,-0.48,-23,8.32,49.93,6.12,n,Consumer,Consumer,,
2040,C,20-Aug,A,invert,Simuliidae,,NFTC,-0.66,-21.65,9.61,47.26,5.02,n,Consumer,Consumer,,
2040,D,20-Aug,A,invert,Simuliidae,,NFTC,-0.22,-22.43,10.33,48.7,4.72,n,Consumer,Consumer,,
2040,E,20-Aug,A,invert,Simuliidae,,NFTC,-0.62,-22.71,8.6,46.52,5.41,n,Consumer,Consumer,,
2041,B,20-Aug,A,invert,Midges,,NFTC,-2.41,-22.04,10.53,49.84,4.77,n,Baseline,Baseline,,
2041,A,20-Aug,A,invert,Midges,,NFTC,-2.21,-21.9,10.94,51.35,4.74,n,Baseline,Baseline,,
2041,G,20-Aug,A,invert,Midges,,NFTC,-2.12,-21.93,9.95,47.9,4.81,n,Baseline,Baseline,,
2042,A,20-Aug,A,invert,Midges,,NFTC,-2.32,-22.14,10.89,51.26,4.71,n,Baseline,Baseline,,
2042,B,20-Aug,A,invert,Midges,,NFTC,-2.2,-21.68,9.92,48.01,4.84,n,Baseline,Baseline,Replicates averaged,
2042,C,20-Aug,A,invert,Midges,,NFTC,-2.08,-22.99,10.02,49.85,4.98,n,Baseline,Baseline,,
2042,D,20-Aug,A,invert,Midges,,NFTC,-2.26,-22.25,10.01,47.78,4.77,n,Baseline,Baseline,,
4008,,20-Aug,A,invert,Megarcys,,AK Basin,3.5,-25.17,11.63,47.2,4.06,n,Consumer,Consumer,,
4010,,20-Aug,A,invert,Megarcys,,AK Basin,2.59,-28.09,9.91,48.62,4.91,n,Consumer,Consumer,,
4011,A,20-Aug,A,invert,Rithrogena,,AK Basin,1.62,-33.48,9.46,55.34,5.85,n,Consumer,Consumer,,
4011,B,20-Aug,A,invert,Rithrogena,,AK Basin,0.77,-33.46,10.7,50.14,4.69,n,Consumer,Consumer,,
4013,A,20-Aug,A,invert,Allomyia,,AK Basin,-0.84,-34.47,9.11,47.85,5.39,n,Baseline,Baseline,,
4013,B,20-Aug,A,invert,Allomyia,,AK Basin,-0.28,-35.85,7.52,39.87,5.46,n,Baseline,Baseline,,
4013,F,20-Aug,A,invert,Allomyia,,AK Basin,0.66,-37.19,8.87,54.97,6.2,n,Baseline,Baseline,,
4013,G,20-Aug,A,invert,Allomyia,,AK Basin,-0.27,-36.9,9.81,51.48,5.25,n,Baseline,Baseline,,
4013,H,20-Aug,A,invert,Allomyia,,AK Basin,-0.07,-35.08,10.21,46.79,4.58,n,Baseline,Baseline,,
4015,A,20-Aug,A,invert,Ameletidae,,AK Basin,0.65,-32.83,11.1,51.87,4.72,n,Consumer,Consumer,,
4015,B,20-Aug,A,invert,Ameletidae,,AK Basin,1.36,-32.14,11.68,49.44,4.23,n,Consumer,Consumer,,
4016,,20-Aug,A,invert,Ameletidae,,AK Basin,1.61,-29.41,11.64,48.77,4.24,n,Consumer,Consumer,,
4017,A,20-Aug,A,invert,Zapada,,AK Basin,0.1,-30.9,9.03,38.86,4.37,n,Consumer,Consumer,,
4017,B,20-Aug,A,invert,Zapada,,AK Basin,-0.29,-31.23,9.93,44.59,4.55,n,Consumer,Consumer,,
4017,D,20-Aug,A,invert,Zapada,,AK Basin,0.81,-31.08,9.46,40.2,4.25,n,Consumer,Consumer,,
4017,C,20-Aug,A,invert,Zapada,,AK Basin,0.53,-31.59,9.64,42.16,4.37,n,Consumer,Consumer,,
4018,A,20-Aug,A,invert,Sweltsa,,AK Basin,5.72,-24.72,11.05,45.3,4.16,n,Consumer,Consumer,,
4022,,20-Aug,A,invert,Heptageniidae,,AK Basin,0.99,-31.53,9.84,43.13,4.47,n,Consumer,Baseline2,,
4023,,20-Aug,A,invert,Drunella,,AK Basin,-0.06,-29.43,10.1,40.36,4,n,Consumer,Consumer,,
4024,,20-Aug,A,invert,Megarcys,,AK Basin,3.04,-27.64,9.85,49.5,5.03,n,Consumer,Consumer,,
569,B,20-Aug,A,invert,Sweltsa,,SFTC,2.9,-24.05,10.6,50.94,4.81,n,Consumer,Consumer,,
569,A,20-Aug,A,invert,Sweltsa,,SFTC,3.71,-24.47,10.73,52.24,4.87,n,Consumer,Consumer,,
569,G,20-Aug,A,invert,Sweltsa,,SFTC,4.05,-24.11,10.37,52.25,5.04,n,Consumer,Consumer,Replicates averaged,
534,A,20-Aug,A,invert,Zapada,,SFTC,0.52,-24.15,10.21,47.92,4.8,n,Consumer,Consumer,,
534,B,20-Aug,A,invert,Zapada,,SFTC,0.2,-24.32,8.97,47.72,5.32,n,Consumer,Consumer,,
556,A,20-Aug,A,invert,Zapada,,SFTC,0.59,-20.8,9.89,46.89,4.74,n,Consumer,Consumer,,
559,A,20-Aug,A,invert,Zapada,,SFTC,0.9,-22.92,10.06,44.94,4.47,n,Consumer,Consumer,,
559,B,20-Aug,A,invert,Zapada,,SFTC,0.67,-23.79,10.5,47.31,4.5,n,Consumer,Consumer,,
670,B,20-Aug,A,invert,Zapada,,SFTC,0,-23.86,9.68,51,5.27,n,Consumer,Consumer,,
670,A,20-Aug,A,invert,Zapada,,SFTC,0.91,-23.39,10.08,47.07,4.67,n,Consumer,Consumer,,
670,G,20-Aug,A,invert,Zapada,,SFTC,0.77,-22.25,9.85,45.21,4.59,n,Consumer,Consumer,,
670,H,20-Aug,A,invert,Zapada,,SFTC,0.72,-23.29,10.05,47.87,4.76,n,Consumer,Consumer,,
1010,,21-Jul,NA,invert,Zapada,,AK Basin,-0.69,-31.74,9.12,43.87,4.81,,,,,
1024-A,,21-Jul,NA,invert,Lednia,,Delta,-4.25,-23.81,7.25,45.66,6.3,,,,,
1024-B,,21-Jul,NA,invert,Lednia,,Delta,-3.17,-23.56,8.6,44.23,5.15,,,,,
1024-C,,21-Jul,NA,invert,Lednia,,Delta,-3.35,-24.32,7.16,47,6.56,,,,,
1025-A,,21-Jul,NA,invert,Zapada,,Delta,-4.05,-24.49,5.71,33.17,5.81,,,,,
1025-B,,21-Jul,NA,invert,Zapada,,Delta,-5.21,-24.58,3.69,21.88,5.93,,,,,
1025-C,,21-Jul,NA,invert,Zapada,,Delta,-2.25,-23.55,7.52,37.05,4.93,,,,,
1040-A,,21-Jul,NA,invert,Lednia,,Skillet,-0.87,-21.64,10.08,50.86,5.05,,,,,
1040-B,,21-Jul,NA,invert,Lednia,,Skillet,-0.86,-20.85,10.06,51.27,5.1,,,,,
1040-C,,21-Jul,NA,invert,Lednia,,Skillet,-1.05,-21.57,9.56,48.89,5.11,,,,,
1040-D,,21-Jul,NA,invert,Lednia,,Skillet,-0.79,-22.11,10.35,51.02,4.93,,,,,
1040-E,,21-Jul,NA,invert,Lednia,,Skillet,-1.86,-21.78,9.32,49.47,5.31,,,,,
1076-A,,21-Aug,NA,invert,Zapada,,Wind Cave,-0.98,-31.92,7.58,47.37,6.25,,,,,
1076-B,,21-Aug,NA,invert,Zapada,,Wind Cave,-1.13,-30.5,6.87,43.19,6.29,,,,,
1095-A,,21-Aug,NA,invert,Lednia,,Skillet,-1.04,-21.22,9.73,48.76,5.01,,,,,
1095-B,,21-Aug,NA,invert,Lednia,,Skillet,-0.77,-21.7,10.76,51.66,4.8,,,,,
1095-C,,21-Aug,NA,invert,Lednia,,Skillet,-0.93,-23.13,10.56,52.65,4.99,,,,,
1095-D,,21-Aug,NA,invert,Lednia,,Skillet,-1.31,-22.26,9.48,49.54,5.23,,,,,
1117-A,,21-Jul,NA,invert,Zapada,,AK Basin,0.11,-25.98,10.15,48.37,4.77,,,,,
1117-B,,21-Jul,NA,invert,Zapada,,AK Basin,-0.26,-32.51,9.99,46.22,4.63,,,,,
1125-A,,21-Jul,NA,invert,Zapada,,Wind Cave,-1.32,-29.92,8.49,43.2,5.09,,,,,
1125-A,,21-Jul,NA,invert,Zapada,,Wind Cave,-2.59,-22.97,8.61,41.25,4.79,,,,,
1125-B,,21-Jul,NA,invert,Zapada,,Wind Cave,-1.32,-30.53,7.88,50.62,6.43,,,,,
1128-A,,21-Aug,NA,invert,Zapada,,Delta,-2.11,-23.26,10.73,47.03,4.38,,,,,
1128-B,,21-Aug,NA,invert,Zapada,,Delta,-3.49,-21.8,11.08,52.69,4.75,,,,,
1128-B,,21-Aug,NA,invert,Lednia,,Delta,-2.69,-22.53,10.03,45.72,4.56,,,,,
1128-C,,21-Aug,NA,invert,Zapada,,Delta,-3.05,-23.99,7.7,42.66,5.54,,,,,
1128-C,,21-Aug,NA,invert,Lednia,,Delta,-3.45,-22.29,8.15,41.35,5.08,,,,,
1133-A,,21-Aug,NA,invert,Lednia,,Cloudveil,-0.59,-22.07,10.13,44.98,4.44,n,Consumer,Consumer,,
1133-B,,21-Aug,NA,invert,Lednia,,Cloudveil,-1.02,-21.74,9.68,43.77,4.52,n,Consumer,Consumer,,
1133-C,,21-Aug,NA,invert,Lednia,,Cloudveil,-2.41,-22.01,8.9,40.36,4.54,n,Consumer,Consumer,,
1133-D,,21-Aug,NA,invert,Lednia,,Cloudveil,-1.52,-22.37,10.45,44.15,4.22,n,Consumer,Consumer,,
1133-E,,21-Aug,NA,invert,Lednia,,Cloudveil,-2.07,-22.84,9.68,46.08,4.76,n,Consumer,Consumer,,
1152-A,,21-Jul,NA,invert,Lednia,,Cloudveil,-1.11,-23.14,9.24,48.93,5.29,n,Consumer,Consumer,,
1152-B,,21-Jul,NA,invert,Lednia,,Cloudveil,-1.77,-22.34,9.08,47.51,5.23,n,Consumer,Consumer,,
1152-C,,21-Jul,NA,invert,Lednia,,Cloudveil,-2.31,-23.51,7.17,42.16,5.88,n,Consumer,Consumer,,
1152-D,,21-Jul,NA,invert,Lednia,,Cloudveil,-1.25,-23.21,8.64,46.44,5.38,n,Consumer,Consumer,,
171D,A,20-Aug,A,invert,Simuliidae,,Skillet,-0.1,-23.52,10.27,51.46,5.01,n,Consumer,Consumer,Degutted after thawing,
171D,B,20-Aug,A,invert,Simuliidae,,Skillet,0.46,-23.44,9.55,50.93,5.33,n,Consumer,Consumer,Degutted after thawing,
Skillet Oligochaeta,,20-Aug,A,invert,Turbellaria,,Skillet,3.46,-24.21,12.33,72.45,5.88,n,Consumer,Consumer,Weight percent values suspect. Use with caution.,
Paint 72621 R3A,,21-Jul,NA,food,Biofilm,,Paintbrush,-2.1,-20.6,1.2,7.5,6.4,n,,,,
Delta 71921 R1B,,21-Jul,NA,food,Biofilm,,Delta,-5.4,-21.2,1.8,12.8,7.2,n,,,,
Delta 71921 R3A,,21-Jul,NA,food,Biofilm,,Delta,-3.9,-21.8,2.1,15,7.3,n,,,,
Delta 81121 R4,,21-Aug,NA,food,Biofilm,,Delta,-4.9,-22.3,2.3,15.9,6.9,n,,,,
Delta 81121 R1,,21-Aug,NA,food,Biofilm,,Delta,-3.3,-21.6,2.6,18.2,7.1,n,,,,
Skillet 72821 R2,,21-Jul,A,food,Biofilm,,Skillet,-2.1,-22,1.3,9.1,7,n,,,,
Skillet 8921 R3A,,21-Aug,NA,food,Biofilm,,Skillet,-2.3,-21.1,1.4,10,7.1,n,,,,
